Time resolution is 1 ps
WARNING: File C:UsersSachFPGA PROJproject_bram1project_bram1.srcssources_1
ewimage.mem referenced on C:/Users/Sach/FPGA PROJ/project_bram1/project_bram1.srcs/sources_1/new/top.v at line 106 cannot be opened for reading. Please ensure that this file is available in the current working directory or parent directory of xsim.dir location specified via -xsimdir switch.
Cycle=1 | pixel_out=x (0xxxxx)
Cycle=2 | pixel_out=x (0xxxxx)
Cycle=3 | pixel_out=x (0xxxxx)
Cycle=4 | pixel_out=x (0xxxxx)
Cycle=5 | pixel_out=x (0xxxxx)
Cycle=6 | pixel_out=x (0xxxxx)
Cycle=7 | pixel_out=x (0xxxxx)
Cycle=8 | pixel_out=x (0xxxxx)
Cycle=9 | pixel_out=x (0xxxxx)
Cycle=10 | pixel_out=x (0xxxxx)
Cycle=11 | pixel_out=x (0xxxxx)
Cycle=12 | pixel_out=x (0xxxxx)
Cycle=13 | pixel_out=x (0xxxxx)
Cycle=14 | pixel_out=x (0xxxxx)
Cycle=15 | pixel_out=x (0xxxxx)
Cycle=16 | pixel_out=x (0xxxxx)
Cycle=17 | pixel_out=x (0xxxxx)
Cycle=18 | pixel_out=x (0xxxxx)
Cycle=19 | pixel_out=x (0xxxxx)
Cycle=20 | pixel_out=x (0xxxxx)
Cycle=21 | pixel_out=x (0xxxxx)
Cycle=22 | pixel_out=x (0xxxxx)
Cycle=23 | pixel_out=x (0xxxxx)
Cycle=24 | pixel_out=x (0xxxxx)
Cycle=25 | pixel_out=x (0xxxxx)
Cycle=26 | pixel_out=x (0xxxxx)
Cycle=27 | pixel_out=x (0xxxxx)
Cycle=28 | pixel_out=x (0xxxxx)
Cycle=29 | pixel_out=x (0xxxxx)
Cycle=30 | pixel_out=x (0xxxxx)
Cycle=31 | pixel_out=x (0xxxxx)
Cycle=32 | pixel_out=x (0xxxxx)
Cycle=33 | pixel_out=x (0xxxxx)
Cycle=34 | pixel_out=x (0xxxxx)
Cycle=35 | pixel_out=x (0xxxxx)
Cycle=36 | pixel_out=x (0xxxxx)
Cycle=37 | pixel_out=x (0xxxxx)
Cycle=38 | pixel_out=x (0xxxxx)
Cycle=39 | pixel_out=x (0xxxxx)
Cycle=40 | pixel_out=x (0xxxxx)
Cycle=41 | pixel_out=x (0xxxxx)
Cycle=42 | pixel_out=x (0xxxxx)
Cycle=43 | pixel_out=x (0xxxxx)
Cycle=44 | pixel_out=x (0xxxxx)
Cycle=45 | pixel_out=x (0xxxxx)
Cycle=46 | pixel_out=x (0xxxxx)
Cycle=47 | pixel_out=x (0xxxxx)
Cycle=48 | pixel_out=x (0xxxxx)
Cycle=49 | pixel_out=x (0xxxxx)
Cycle=50 | pixel_out=x (0xxxxx)
Cycle=51 | pixel_out=x (0xxxxx)
Cycle=52 | pixel_out=x (0xxxxx)
Cycle=53 | pixel_out=x (0xxxxx)
Cycle=54 | pixel_out=x (0xxxxx)
Cycle=55 | pixel_out=x (0xxxxx)
Cycle=56 | pixel_out=x (0xxxxx)
Cycle=57 | pixel_out=x (0xxxxx)
Cycle=58 | pixel_out=x (0xxxxx)
Cycle=59 | pixel_out=x (0xxxxx)
Cycle=60 | pixel_out=x (0xxxxx)
Cycle=61 | pixel_out=x (0xxxxx)
Cycle=62 | pixel_out=x (0xxxxx)
Cycle=63 | pixel_out=x (0xxxxx)
Cycle=64 | pixel_out=x (0xxxxx)
Cycle=65 | pixel_out=x (0xxxxx)
Cycle=66 | pixel_out=x (0xxxxx)
Cycle=67 | pixel_out=x (0xxxxx)
Cycle=68 | pixel_out=x (0xxxxx)
Cycle=69 | pixel_out=x (0xxxxx)
Cycle=70 | pixel_out=x (0xxxxx)
Cycle=71 | pixel_out=x (0xxxxx)
Cycle=72 | pixel_out=x (0xxxxx)
Cycle=73 | pixel_out=x (0xxxxx)
Cycle=74 | pixel_out=x (0xxxxx)
Cycle=75 | pixel_out=x (0xxxxx)
Cycle=76 | pixel_out=x (0xxxxx)
Cycle=77 | pixel_out=x (0xxxxx)
Cycle=78 | pixel_out=x (0xxxxx)
Cycle=79 | pixel_out=x (0xxxxx)
Cycle=80 | pixel_out=x (0xxxxx)
Cycle=81 | pixel_out=x (0xxxxx)
Cycle=82 | pixel_out=x (0xxxxx)
Cycle=83 | pixel_out=x (0xxxxx)
Cycle=84 | pixel_out=x (0xxxxx)
Cycle=85 | pixel_out=x (0xxxxx)
Cycle=86 | pixel_out=x (0xxxxx)
Cycle=87 | pixel_out=x (0xxxxx)
Cycle=88 | pixel_out=x (0xxxxx)
Cycle=89 | pixel_out=x (0xxxxx)
Cycle=90 | pixel_out=x (0xxxxx)
Cycle=91 | pixel_out=x (0xxxxx)
Cycle=92 | pixel_out=x (0xxxxx)
Cycle=93 | pixel_out=x (0xxxxx)
Cycle=94 | pixel_out=x (0xxxxx)
Cycle=95 | pixel_out=x (0xxxxx)
Cycle=96 | pixel_out=x (0xxxxx)
Cycle=97 | pixel_out=x (0xxxxx)
Cycle=98 | pixel_out=x (0xxxxx)
Cycle=99 | pixel_out=x (0xxxxx)
Cycle=100 | pixel_out=x (0xxxxx)
